Price,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,
2020-03-02,72.5946273803711,73.23357596320388,67.47090180856407,68.57873396386738,341397200
2020-03-03,70.28909301757812,73.85553621045779,69.43391890589473,73.77536734454684,319475600
2020-03-04,73.54942321777344,73.70976836620322,71.21471719102264,72.01886735003644,219178400
2020-03-05,71.16371154785156,72.77443652965138,70.79686089078,71.79536491446169,187572800
2020-03-06,70.21865844726562,70.65353371683767,68.32368325077904,68.51074893872675,226176800
2020-03-09,64.66487884521484,67.56078827090813,63.894737492316715,64.07694681976629,286744800
2020-03-10,69.32218170166016,69.58942367250026,65.44233541089918,67.3300297849221,285290000
2020-03-11,66.91458892822266,68.32124779609116,66.04727026677229,67.3907682408546,255598800
2020-03-12,60.30644226074219,65.59537401061138,60.250565757894904,62.17955623859568,418474000
2020-03-13,67.53164672851562,68.0053940210408,61.453141557980196,64.35391881351434,370732000
2020-03-16,58.84392166137695,62.942413654688025,58.30700964974588,58.7807533617381,322423600
2020-03-17,61.43128204345703,62.58527101614985,57.91828374935874,60.1315203844917,324056000
2020-03-18,59.92744064331055,60.73645061028662,57.60730748858585,58.25111608929014,300233600
2020-03-19,59.46827697753906,61.426419675647786,58.941084997822024,60.102365710205,271857200
2020-03-20,55.69290542602539,61.18105103531312,55.391651251345145,60.05135066055668,401693200
2020-03-23,54.509761810302734,55.51312940551044,51.65271981088884,55.41109258843062,336752800
2020-03-24,59.978477478027344,60.17526303928992,56.92221799336146,57.422685891648946,287531200
2020-03-25,59.64806365966797,62.74076316410799,59.3516694383783,60.91866936456952,303602000
2020-03-26,62.78692626953125,62.845230901201134,59.85213994722345,59.89101217304303,252087200
2020-03-27,60.187408447265625,62.162555760268454,60.01977521141477,61.404565866396354,204216800
2020-03-30,61.905029296875,62.07752247549457,60.59069140429655,60.9162416493631,167976400
2020-03-31,61.7786979675293,63.77085317683828,61.2223536075195,62.09696014187927,197002000
2020-04-01,58.52809143066406,60.42549811462956,58.0956480712456,59.88615797745644,176218400
2020-04-02,59.504722595214844,59.55817097638504,57.55386780368069,58.38960208336811,165934000
2020-04-03,58.649559020996094,59.691795094969585,58.056770548986755,58.98725360699361,129880000
2020-04-06,63.766014099121094,63.921495628140775,60.585852986775514,60.95512810555303,201820400
2020-04-07,63.02744674682617,66.00839738638794,62.92298179967491,65.78974016698517,202887200
2020-04-08,64.6406021118164,64.95642874150907,63.464745123474984,63.83158830415397,168895200
2020-04-09,65.10706329345703,65.61239487021291,64.3077766952038,65.2795602045284,161834800
2020-04-13,66.38496398925781,66.49429260465944,64.58230223555258,65.18481070772222,131022800
2020-04-14,69.73759460449219,70.02913255388498,67.55108222640038,68.02482954063414,194994800
2020-04-15,69.1010971069336,69.56269281105895,68.17790569868288,68.60791725112617,131154400
2020-04-16,69.65015411376953,70.01700476078703,68.59576989662524,69.81778736213384,157125200
2020-04-17,68.70508575439453,69.71331699752928,67.26198676311418,69.16425698531064,215250000
2020-04-20,67.27898406982422,68.43297671339393,67.25955166646024,67.52679355095263,130015200
2020-04-21,65.19937133789062,67.35673149875346,64.48511000316932,67.12107374662952,180991600
2020-04-22,67.07735443115234,67.51465402003916,66.12986704581802,66.4724141891117,116862400
2020-04-23,66.81739044189453,68.44998669440024,66.77851821991604,67.02146404669297,124814400
2020-04-24,68.74636840820312,68.75608831546117,67.2959817893199,67.34457391149324,126161200
2020-04-27,68.79498291015625,69.12781755437949,68.01269693902715,68.46214085181369,117087600
2020-04-28,67.67985534667969,69.44121285588518,67.58754214647125,69.25900345838117,112004800
2020-04-29,69.90283203125,70.37414770783502,68.96992059080614,69.17399427332938,137280800
2020-04-30,71.37747955322266,71.55483267240312,70.05342927151027,70.44456848623724,183064000
2020-05-01,70.22836303710938,72.64081369930636,69.44607705455206,69.54325391781421,240616800
2020-05-04,71.22200775146484,71.35076875806811,69.5602589927265,70.25265616239726,133568000
2020-05-05,72.29096984863281,73.12670420409486,71.53783619626512,71.68360519577489,147751200
2020-05-06,73.03679656982422,73.67088154496368,72.60920959206076,72.99549252187859,142333600
2020-05-07,73.7923812866211,74.13979953948817,73.36236973605371,73.66605209456404,115215200
2020-05-08,75.54875946044922,75.60235253123315,74.12611582186314,74.45498205466502,133838400
2020-05-11,76.73754119873047,77.23448698795877,74.84473723882499,75.05424011538071,145946400
2020-05-12,75.8605728149414,77.87760965678292,75.73877105532733,77.42450324524006,162301200
2020-05-13,74.94458770751953,76.96650047394103,73.86298797082806,76.04080305409715,200622400
2020-05-14,75.405029296875,75.4659301717339,73.45376288745526,74.17970399208137,158929200
2020-05-15,74.95922088623047,75.00550613978024,73.13219488038561,73.16630293423822,166348400
2020-05-18,76.725341796875,77.10049319763979,75.59502563599513,76.2892969667924,135178400
2020-05-19,76.28199005126953,77.59257040448834,76.250320412407,76.7423967189678,101729600
2020-05-20,77.76555633544922,77.83619600542188,77.1053854269129,77.1443628832028,111504800
2020-05-21,77.185791015625,78.16995149926976,76.94705684574454,77.62671287330288,102688800
2020-05-22,77.6827163696289,77.76554065972839,76.82035797924657,76.92266727646846,81803200
2020-05-26,77.15653228759766,78.98598935270707,77.10050081133224,78.80572515787038,125522000
2020-05-27,77.49270629882812,77.63886988657548,76.26981939752606,77.01281453766303,112945200
2020-05-28,77.52680206298828,78.79110463009378,76.88856217970095,77.16626626161167,133560800
2020-05-29,77.45127868652344,78.23324365116935,77.0931813306074,77.77039859974671,153532400
2020-06-01,78.40377044677734,78.52557216956737,77.27344689087606,77.40499483306169,80791200
2020-06-02,78.76675415039062,78.79111598702812,77.69246183211925,78.1358219826799,87642800
2020-06-03,79.20036315917969,79.46345908381795,78.51339955329883,79.08830763863511,104491200
2020-06-04,78.51826477050781,79.32215317141346,78.14311338079781,79.02252568967691,87560400
2020-06-05,80.75455474853516,80.81545561938624,78.73995661708915,78.76918784562754,137250400
2020-06-08,81.23202514648438,81.26613320662413,79.73630344643696,80.45005995341553,95654400
2020-06-09,83.79716491699219,84.19180139437105,80.87879976817435,80.9104694123917,147712400
2020-06-10,85.95304107666016,86.42319395462418,84.30871777632814,84.74963942953403,166651600
2020-06-11,81.826416015625,85.51944605133392,81.72410670645458,85.0931399166828,201662400
2020-06-12,82.53286743164062,84.72529905397784,81.41716661042786,83.9750035031546,200146000
2020-06-15,83.55358123779297,84.20887539773132,81.01766732942083,81.18088498287585,138808800
2020-06-16,85.76790618896484,86.04074831926326,83.97498822355983,85.61687322748851,165428800
2020-06-17,85.6485595703125,86.5766883744846,85.52675781192572,86.51578749529122,114406400
2020-06-18,85.68267822265625,86.10167662066844,85.07123094103055,85.60472330344695,96820400
2020-06-19,85.19302368164062,86.85927087357204,84.0797538062018,86.39155627628752,264476000
2020-06-22,87.42198181152344,87.56570697612823,85.5413626026624,85.58764785972699,135445200
2020-06-23,89.28799438476562,90.71307640768639,88.25024105134418,88.67167780071613,212155600
2020-06-24,87.71186828613281,89.83852933973874,87.33671684590729,88.91527007031266,192623200
2020-06-25,88.87628936767578,88.91526681509454,87.10529481180333,87.86777486464669,137522400
2020-06-26,86.14552307128906,88.9932491157838,85.99692104260566,88.771568997053,205256800
2020-06-29,88.13087463378906,88.22588356795558,85.57303786343928,86.05293705962484,130646000
2020-06-30,88.8665542602539,89.15401204164107,87.69726042821986,87.71674543727191,140223200
2020-07-01,88.6984634399414,89.49017478480187,88.64974720230927,88.9445053445153,110737200
2020-07-02,88.6984634399414,90.2477855067387,88.58397693612106,89.60954555050597,114041600
2020-07-06,91.0711669921875,91.54131994765142,90.10162241749444,90.13329206093196,118655600
2020-07-07,90.78860473632812,92.23317195735378,90.6765491884905,91.45120666847298,112424400
2020-07-08,92.903076171875,92.93474581994717,91.68262011912581,91.77032125487871,117092000
2020-07-09,93.30257415771484,93.85311298440196,92.25020530715545,93.79951991976638,125642800
2020-07-10,93.46578979492188,93.52425969060765,92.28188034447685,92.89575849276069,90257200
2020-07-13,93.03461456298828,97.39755418632491,92.82024229124636,94.77637811960794,191649200
2020-07-14,94.57418823242188,94.76662964226465,91.47555145597293,92.41341897123698,170989200
2020-07-15,95.22460174560547,96.7081460918901,94.02119992301603,96.45723479721514,153198000
2020-07-16,94.0528564453125,94.91277633857692,93.4511556179561,94.09183388996489,110577600
2020-07-17,93.86284637451172,94.6618654071879,93.3878166649876,94.50596306222513,92186800
2020-07-20,95.84092712402344,95.97978290888382,93.60464868715383,93.9505689422849,90318000
2020-07-21,94.51815032958984,96.71058165166797,94.26723904231955,96.63506516753144,103433200
2020-07-22,94.78368377685547,95.46820900884369,94.13082818895455,94.2185218794836,89001600
2020-07-23,90.46946716308594,94.59367254925417,89.65583238188394,94.51571764664843,197004400
2020-07-24,90.2453384399414,90.59125863464803,86.86412112338985,88.65948492261705,185438800
2020-07-27,92.3841781616211,92.4767486702701,91.08821334309908,91.31232437375542,121214000
2020-07-28,90.86653900146484,92.13084169284855,90.86166217384765,91.95300847115467,103625600
2020-07-29,92.60830688476562,92.79344792257184,91.31477290242519,91.35131194036357,90329200
2020-07-30,93.72887420654297,93.83362191523179,91.36835596961677,91.77760801811353,158130000
2020-07-31,103.5412368774414,103.69226986257458,98.24529157077608,100.2525895272056,374336800
2020-08-03,106.15023803710938,108.78115318345822,105.13197706745348,105.43160465101931,308151200
2020-08-04,106.8591079711914,107.95532367778854,105.61429026969972,106.34023134726526,173071600
2020-08-05,107.24644470214844,107.56800311782875,106.11125145953578,106.57897346726979,121776800
2020-08-06,110.98818969726562,111.48514293061744,106.98822429560298,107.58017903042834,202428800
